shipper_party_name,count,address1,address2,address3,address4,country_code
BEIJING KANG-JIE-KONG INTERNATIONAL,40768,"CARGO AGENT CO.,LTD.SHANGHAI BRANCH","NO.1,LANE 128,, LINGHONG ROAD",SHANGHAI 200335,,
KUEHNE + NAGEL (AG & CO.) KG,39175,OBERNSTRASSE 2-12,28195 BREMEN GERMANY,TEL:+4942136050,,05
"DHL GLOBAL FORWARDING (CHINA) CO.,",38540,NO 318 ZHONGSHAN SOUTH ROAD 16F ORI,SHANGHAI 31 200010 CHINA,,,
"ORIENT EXPRESS CONTAINER CO.,LTD.",38010,SHENZHEN BRANCH,"ROOM 12A02,NO.4018, ANLIAN PLAZA,","JINTIAN ROAD, FUTIAN ,SHENZHEN,",CHINA,
BEIJING CENTURY JOYO COURIER,37745,"SERVICE CO., LTD ROOM 1701, 17F, NO","RING ROAD, CHAOYANG DISTRICT, BEIJI",,,
PUDONG PRIME INTERNATIONAL,37215,"LOGISTICS,INC.RM 2301 TIANXING",RIVERFRONT SQUARE NO.81,SHIYIJING ROAD TIANJIN CHINA,,
TOPOCEAN CONSOLIDATION SERVICE (CHI,36764,"ROOM A1203-6 SEROSPACE SKYCRAPER,40",SHENZHEN 44 518000 CHINA,,,
ORIENT STAR TRANSPORT INTERNATIONAL,36569,"UNIT 8-10, 18 FLOOR EVER GAIN PLAZA",HONG KONG .,HONG KONG,,
NEPTUNE SHIPPING LIMITED,36279,"SUITE 1618-1622,HITIME MANSION,","NO.289,WUJIN ROAD,HONGKOU DISTRICT,","SHANGHAI,200080,P.R.CHINA.",,
APM GLOBAL LOGISTICS BANGLADESH LTD,36187,ON BEHALF OF:,LENNY APPARELS LTD,"54-56 DHAKA EXPORT PROCESSING ZONE,",,
"CITY OCEAN LOGISTICS CO.,LTD.",36048,"22F.,A BLDG.,AEROSPACE SKYSCRAPER,","NO.4019 SHENNAN ROAD,FUTIAN","DISTRICT,SHENZHEN,CHI",,
TOLL GLOBAL FORWARDING (HONG KONG),35854,"14/F., TOWER 1 EVER GAIN PLAZA 88 C",HONG KONG .,HONG KONG,,
BARSAN GLOBAL LOJISTIK A.S.,35668,FATIH MAH. YAKACIK CAD. NO:70 SAMAN,ISTANBUL 34 34887 TURKEY,,,
XYLEM EUROPE GMBH,34304,C O XYLEM WATER SOLUTIONS GLOBAL SE,UTVAGEN 2,,,SE
SCHENKER DEUTSCHLAND AG,32269,AS AGENTS FOR SCHENKER OCEAN LTD,AS AGENT FOR B. BRAUN,CARL-BRAUN-STR. 1,"34212 MELSUNGEN, GERMANY",
"KERRY-APEX (THAILAND) CO.,LTD.",31861,"163 THAI SAMUT BUILDING, 14TH","FLOOR ROOM AB SURAWONGSE ROAD,","SURIYAWONGSE, BANGKOK BANGKOK",,30
SHINE INTERNATIONAL TRANSPORTATION,30769,UNIT A 23 FLOOR FORTUNE BUILDING,SHENZHEN GD,CHINA,,
SHENZHEN GLOBAL LEADER SUPPLY CHAIN,30659,1F 16BUILDING 5DISTRICT LINGYUN,"YIWU, ZHEJIANG",,,
"INTERNATIONAL AUTO LOGISTICS, LLC",30423,ONE JOE FRANK HARRIS BLVD,BRUNSWICK,"GA, 32523, US",,
SINO CONNECTIONS LOGISTICS INC.,30336,"UNIT 09, 13/F., SHENHUA COMMERCIAL",SHENZHEN GD,CHINA,,
"SAFROUND LOGISTICS CO., LTD.",30273,"202-203, BLDG. 28 NO. 128 SHUI FENG","RD DA XIE DISTRICT NINGBO, CHINA",,,
ROYAL CARIBBEAN CRUISES LTD.,29591,1050 CARIBBEAN WAY,,,,US
CHINATRANS INTERNATIONAL LIMITED,29314,"23RD FLOOR,SECTION A,TAIPINGYANG,","COMMERCIAL&TRADING BUILDING,","NO.4028 JIABIN ROAD,LUOHU DISTRICT,",,13
"K-APEX LOGISTICS (SHENZHEN) CO.,",28575,LTD.,"ROOM 1801 IN-LONG BUSINESS CENTER,","COMMERCIAL DAILY EAST ROAD,",,
"ORIENT EXPRESS CONTAINER CO.,LTD",28506,"O/B HAI THAC CO., LTD","11F, 60 NGUYEN DINH CHIEU STREET,","DISTRICT 1, HCMC, VIETNAM",,
SEAMASTER GLOBAL FORWARDING,27213,SHANGHAI LIMITED,AS AGENT FOR SEAMASTER,LOGISTICS INC.,,
PACIFIC LINK INTERNATIONAL FREIGHT,27167,"UNIT 605-6,6/F,KOWLOON CENTER 29-39","ASHLEY ROAD, TSIMSHATSUI KOWLOON H",ONG KONG,.,
GIORGIO GORI WAREHOUSE,27102,"VIA LEPORI, 9",LEGHORN 57017 ITALY,,,
MASTER INTERNATIONAL LOGISTICS,26264,"ROOM 24B20-21,JUESHI MANSION,","NO.4018 JIABIN RD,LUOHU,","SHENZHEN,CHINA 518001",SHENZHEN,
DHL GLOBAL FORWARDING GMBH,26021,FLUGHAFENALLEE 11 28199 BREMEN/GERM,"AS AGENT OF DANMAR LINES LTD, PO BO",4002 BASEL-SWITZERLAND,,58
CENTURY DISTRIBUTION SYSTEMS,25942,SHENZHEN LTD-XIAMEN BRANCH,O B SYNERGY SHOE COMPANY,"12-1 NO. 137, HUA MEI WEST STREET",,
SAVINO DEL BENE SPA,25625,VIA DELLE NAZIONI UNITE 19,SCANDICCI FI 50018 ITALY,,,
"LF LOGISTICS (CHINA) CO.,LTD.",25513,"4F,BLOCK 1 BINJIANG PLAZA,359","YUESHENG ROAD,JIANGDONG DISTRICT,","NINGBO,CHINA 315000, PRC",TEL:+8657487956736,
LG ELECTRONICS INC,25369,"LG TWIN TOWERS 128, YEOUI-DAERO","YOUNGDUNGPO-GU, SEOUL 07336, KOREA",T.82-2-3777-1114 F.82-2-3777-5206,,
JAS AS AGENT FOR BLUE WORLD LINE,24306,"ROOM 409, 4/F, SCSC OFFICE BLDG.",30 PHAN THUC DUYEN ST.,HOCHIMINH CITY,,87
EXPEDITORS HONG KONG LIMITED,24004,"36/F-37/F, ENTERPRISE SQUARE THREE",39 WANG CHIU ROAD,"KOWLOON BAY, KOWLOON",,32
EXPEDITORS VIETNAM COMPANY LIMITED,23713,"HANOI BRANCH, 10TH FLOOR, TNR","BUILDING, 54A NGUYEN CHI THANH","STREET DONG DA DISTRICT, HANOI",,25
SEACO SHIPPING SA,23314,"P A-AVENUE DE FRONTENEX,6 CASE",POSTALE 6262 1211 GENEVA SWITZERLAN,C O DELL FORWARDING,,
SCHENKER CHINA LTD.,22743,AS AGENT OF SCHENKEROCEAN LIMITED 4,SHANGHAI 31 200000 CHINA,,,
HANGZHOU FAR INTERNATIONAL LOGISITI,22209,1F 16BUILDING 5DISTRICT LINGYUN,"YIWU, ZHEJIANG",,,
"THAI SAMSUNG ELECTRONICS CO., LTD.",21013,"313 MOO 1, SRIRACHA INDUSTRIAL PARK","SUKHAPIBAN 8 RD.TAMBON BEUNG,AMPHUR","SRIRACHA, CHONBURI 20230",,
UPS SCS (CHINA) LTD SHENZHEN BRANCH,20843,THE 16TH DISTRICT FEI CHI CENTER,YANTIAN PORT,SHENZHEN 518083 CN,CHINA,
GLOVIS AMERICA.INC. O/B OF,20816,"TAEKWANG INDUSTRIAL CO., LTD.","301, TEHERAN-RO,","GANGNAM-GU, SEOUL, KOREA",,
KUBOTA CORPORATION,20804,"2-47,SHIKITSUHIGASHI 1-CHOME,","NANIWA-KU,OSAKA,556-8601 JAPAN",TEL 06-6648-3145 FAX 06-6648-3519,OSAKA,
"JOO SUNG SEA & AIR CO., LTD.",20611,"( JOOSUNG B/D, PILDONG-3GA) 3F 47,",SEOUL .,SOUTH KOREA,,
"TRANSLINK SHIPPING,INC.",20562,"ROOM A,26 F,NEW SHANGHAI INT L",TOWER,"360 PUDONG NAN ROAD SHANGHAI,CHINA",,
NCL (BAHAMAS) LTD,20254,7665 CORPORATE CENTER DRIVE,"MIAMI, FL 33126 US",,,
TOPOCEAN (THAILAND) LIMITED,20200,"3388/51 FLOOR 15TH, SIRINRAT BUILDI","RAMA 4 ROAD, KLONGTON, KLONGTOEY,",BANGKOK THAILAND 10100,,
K-APEX LOGISTICS (SHANGHAI),20146,COMPANY LIMITED,"ROOM 1211,NO.175 EAST YAN AN ROAD","SHANGHAI, CHINA",TEL: 021-63362020 FAX: 021-63563585,
HELLMANN WORLDWIDE LOGISTICS,19816,AIR SEA GMBH CO. KG,BUSINESSPARK NIEDERRHEIN,DR.ALFRED-HERRHAUSEN-ALLEE 11,,
SHANGHAI BA-SHI YUEXIN LOGISTICS,19761,"DEVELOPMENT CO.,LTD.","ROOM 307-313,RONG GUANG","BUSINESS CENTER, NO.280",,
"NIPPON EXPRESS CO.,LTD.",19595,"1-49, NISHIKURA-CHO, MINATO-KU,","NAGOYA,AICHI,455-0034,JAPAN",AS AGENT FOR NIPPON EXPRESS USA,,
MAXWIDE LOGISTICS INC.,19465,"C-408,FULLHOPE PLAZA,12 HONGKONG","ZHONG ROAD,QINGDAO,CHINA 266071",TEL:0532-68888188,,
TRANSLINK SHIPPING INCORPORATION,19227,"ROOM 379 ,NO.58, WUHUA ROAD,HONGKO",HONGKOU DISTRICT SH 200000,CHINA,,
INTERGLOBO DO BRASIL - LOGISTICA IN,18674,"RUA CANTAGALO,692/CJ 1312/1314/1316",SAO PAULO SP 03319-000 BRAZIL,,,
ORIENT STAR TRANSPORT INT'L LTD.,18504,"RM 8-10, 18/F., EVER GAIN PLAZA,","TOWER 1,88 CONTAINER PORT ROAD,","KWAI CHUNG,N.T. HONG KONG",,
MAGICAL CRUISE COMPANY LIMITED,18488,DBA DISNEY CRUISE LINE,200 CELEBRATION PLACE,,,US
COHESION FREIGHT (HK) LTD.,18308,"UNIT A2, 8 F ., SUNSHINE","KOWLOON BAY CARGO CENTRE,","59 TAI YIP STREET, KOWLOON BAY",HONG KONG,
DAMCO INDIA PVT LTD,18060,O B K H EXPORTS INDIA PRIVATE LTD,15 2 COLLEGE RD,NUNGAMBAKKAM,,
AMAG ROLLING GMBH,17765,LAMPRECHTSHAUSNERSTRASSE 61,RANSHOFEN AT,,,
DAMCO SHENZHEN ON BEHALF OF,17747,PUSHER ELECTRONIC CO LTD,DONG KENG,523449 DONGGUAN,,
EXPEDITORS INTERNATIONAL (I)PVT LTD,17576,5TH FLOOR,"61, CHIMES BUILDING, SECTOR 44","GURGAON, HARYANA 122003 HR",INDIA,
COMBINED FREIGHT INTERNATIONAL,17458,07/04 ARKAY SQUARE (EXT) NEW CHALLI,"SHAHRA-E-LIAQUAT, KARACHI-PAKISTAN.","TEL: 0092-21-7010598,",,01
KUEHNE & NAGEL LIMITED,17293,"11-16F, BLOCK 1, LIFE HUB DANING OF",SHANGHAI 31 200072 CHINA,,,
C.H. ROBINSON FREIGHT SERVICES,17167,CHINA LTD. QINGDAO BRANCH,"ROOM 1802 1803, BUILDING B, COSCO","PLAZA, NO.61A, HONG-KONG CENTER",,
SEAFRIGO,17144,58 RUE DU GENERAL CHANZY,LE HAVRE 76 76600 FRANCE,,,
ZF FRIEDRICHSHAFEN AG,17108,ZF SERVICES SAARBRUECKEN,METZER STR. 160,66117 SAARBRUCKEN DE,,
"LF LOGISTICS (CHINA) CO., LTD.",17018,"7/F TOWER BLOCK,LI & FUNG PLAZA,","NO.2000 YISHAN ROAD,SHANGHAI",CHINA 201103,NVOCC NO:MOC-NV 05435@,
HONOUR LANE SHIPPING LTD,16962,"10/F, TOWER A, FINANCIAL STREET","HAILUN CENTRE, NO. 440 HAI LUN","ROAD, SHANGHAI, CHINA 200086",,48
"YUSEN LOGISTICS (CHINA) CO., LTD.",16952,"NINGBO BRANCH RM1002-1004,BLK A,PAC","IFIC PL,NO555,JINGJIA RD,JIANGDONG,","NINGBO, 315040, ZHEJIANG",CHINA,
HECNY SHIPPING LIMITED.,16851,"14F,458,FUSHAN ROAD,200122 SHANGHAI",SHANGHAI 31 200122 CHINA,,,
TRANSWORLD SHIPPING GMBH,16685,BURCHARDSTRASSE 24,,HAMBURG 20095 DE,,
"RAMSES LOGISTICS CO.,LTD.",16579,.,"ROOM 505, 5TH FL., A-DONG,","GANGSEO HANGANG XI TOWER, 401,",,
K-APEX INTERNATIONAL FREIGHT,16538,"(NINGBO) CO.,LTD.","ROOM 6-123,NO.35-45 YAOHANG","STREET,HAISHU DISTRICT,NINGBO",,26
K-APEX LOGISTICS (SHANGHAI) COMPANY,16457,LIMITED,"RM 1211, WANGJIAO PLAZA, 175, EAST","SHANGHAI, SHANGHAI",,
DHL GLOBAL FORWARDING,16417,"CHINA CO.,LTD.",16 F ORIENT INTERNATIONAL,FIANANCE PLAZA,,
AC CONTAINER LINE GMBH,16375,KAP-HORN-STRASSE 18,BREMEN HB 28237 GERMANY,,,
"K-APEX LOGISTICS (HK) CO., LIMITED",16265,.,22TH FLOOR 180-192 NGUYEN CONG TRU,ST HO CHI MINH 70000 VN,,
"SAFROUND LOGISTICS CO., LTD",16255,17/F HONGTAI DIBIAO BUILDING NO.122,NINGBO ZJ,CHINA,,
SCANWELL CONTAINER LINE LTD.,15984,"1705-1706,17/F,SILVER CITY NATIONAL","1 , NO.668","JINGJIA ROAD,JIANGDONG",,
JF HILLEBRAND FRANCE (BEAUNE),15953,11 RUE LOUIS ET GASTON CHEVROLET,VIGNOLES 21200,FRANCE,,
MADERAS ARAUCO S.A.,15783,AVDA EL GOLF 150 PISO 14,LAS CONDES RM CHILE,,,
DEESTONE CORPORATION LIMITED,15710,HEAD OFFICE:84 MOO 7 SOI PETCHKASE,"122,PETCHKASEM ROAD.OAMNOI","SUBDISTRICT, KRATHUMBAN DISTRICT,",,
MOL CONSOLIDATION SERVICE LIMITED,15612,"ROOM 702B _ 703, TOWER2, ENTERPRISE",GONGHE ROAD,,,
ORIENT STAR TRANSPORT INT'L LTD,15455,"RM.01-06, 11F, LUDAN BUILDING, NO.",SHENZHEN 44 518001 CHINA,,,
"SEAMASTER LOGISTICS, INC.",15099,SUITE 150 1370 VALLEY VISTA DRIVE,DIAMOND BAR CA 91765,UNITED STATES,,
DIVERSIFICADOS DE COSTA RICA DICORI,14829,"GUACHIPELIN, PLAZA ROBLE EDIFICIO","LAS TERRAZAS B, SETIMO PISO, ESCAZU","SAN JOSE, COSTA RICA",,
C.H. ROBINSON FREIGHT SERVICES (CHI,14723,13 TH FLOOR GREENLAND COMMERCIAL CE,CHANGNING DISTRICT SH 200050,CHINA,,
DHL GLOBAL FORWARDING (CHINA),14284,"CO., LTD.",ORIENT INTERNATIONAL FINANCE P,,,CN
"HIGH Q INTERNATIONAL, S.A",14089,HACIENDA QUEBRADA,HONDA ALDEA EL GUAYABAL,,,GT
JHJ INTERNATIONAL TRANSPORTATION,14009,CO. LTD. 14TH FLOOR LAN SHENG,BUILDING NO.8 HUAI HAI RD.(M),SHANGHAI P.R.C.200021,,
CARNIVAL CRUISE LINE,13882,3655 NW 87TH AVENUE,"MIAMI, FL 33178 US",,,
"HONDA MOTOR CO., LTD.",13654,"NO.1-1,MINAMI-AOYAMA,2-CHOME,","MINATO-KU,TOKYO 107-8556,JAPAN",TOKYO,,
"YUSEN LOGISTICS (SHENZHEN) CO., LTD",13605,"7TH FLOOR,RONGVHAO TOWER 4036 JINTI",SHENZHEN GD 518000,CHINA,,
UPS SCS (CHINA) LIMITED SHANGHAI BR,13538,"NO.1000 PU JIAN ROAD,PUDONG SHANGHA",I CHINA 200127 TEL 021-61057777 FA,X 021-61057550 7508,SHANGHAI,
DAMCO VIETNAM COMPANY LIMITED,13523,"54-56 NGUYEN TRAI STREET, BEN THANH","DISTRICT 1, HO CHI MINH CITY, VIETN",,,
DAMCO CHINA LIMITED SHENZHEN BRANCH,13401,"ZONE B2&B3,4/F, BUILDING B, NORTH D",YANTIAN BONDED LOGISTICS PART,SHENZHEN GUANGDONG,,83
DIAGEO SCOTLAND LTD,13114,5 LOCHSIDE WAY,EDINBURGH LTN EH12 9DT UNITED KINGD,,,
ORIENTAL LOGISTICS GROUP LTD.,12990,"19F,90, SEC. 2, NANJING E. RD., TAI",R.O.C. TEL_(02)25429029 FAX_(02)254,,,
"CHINA INTERNATIONAL FREIGHT CO., LT",12930,"2F, NO. 90, SEC. 1, JIANGUO N. RD.",TAIPEI .,TAIWAN,,
"EURO LINE GLOBAL CO., LTD.",12923,.,"1F, SANG-NOK BLDG, 19 YANGHWA-RO,","10-GIL, MAPO-GU, SEOUL, KOREA",,
SEAMASTER GLOBAL FORWARDING (HK) LI,12854,"14/F.,TOWER 1,EVER GAIN PLAZA 88 CO","KWAI CHUNG, NEW TERRITORIES .",HONG KONG,,
EUMEX LINE SHENZHEN LIMITED,12634,"ROOM J, 29/F, INTERNATIONAL TRADE A","ND COMMERCIAL BUILDING, 3005 NANHU","ROAD, SHENZHEN,CHINA. P.C. 518001",.,
SAVINO DEL BENE DO BRASIL LTDA,12607,"AV. N S DOS NAVEGANTES,451/SL 1105/",VITORIA ES 29050-420 BRAZIL,,,
COHESION FREIGHT (HK) LTD,12567,UNIT A2 8 F.,SUNSHINE KOWLOON BAY CARGO CENTRE,59 TAI YIP STREET KOWLOON BAY,,
"NEW CHAIN LOGISTICS CO., LTD",12535,"ROOM 504,505, SHENHUA COMMERCIAL BL",SHENZHEN GD,CHINA,,
KING COMPASS LOGISTICS LIMITED,12523,"FLAT B,3/FL WAH SHING IND BLDG. NO",HONG KONG .,HONG KONG,,
ORNUA CO-OPERATIVE LIMITED,12493,GRATTAN HOUSE MOUNT STREET LOWER,DUBLIN IRELAND,,,
CHIQUITA BRANDS INT L S.A.R.L.,12456,"A1 BUSINESS CENTER, BATIMENT B4",ZONE ARTISANALE LA PIECERTE DE,"L ETRAZ, 1180 ROLLE SWITZERLAND",,
SEAMASTER GLOBAL FORWARDING (SHANGH,12348,"41F, THE PANGLIN PLAZA, 2002 JIA BI",SHENZHEN 44 518001 CHINA,,,
COHESION FREIGHT (HK) LIMITED,12295,"UNIT A2,8 F.,SUNSHINE KOWLOON BAY","CARGO CTR.,59 TAI YIP","STREET,KOWLOON BAY,",HONG KONG,
AMERICAN COMMERCIAL TRANSPORT,12241,"(THAILAND) CO.,LTD.388 EXCHANGE","TOWER, 36TH FL, UNIT 3601,","SUKHUMVIT RD, BANGKOK 10110",,
CENTURY DISTRIBUTION SYSTEMS (SHENZ,12234,"HEN) LTD-XIAMEN BRANCH UNIT A.B , 1","5F, SEASIDE BUILDING,NO.52,LUJIANGD","AO,XIAMEN,FUJIAN,CHINA",,
U.DEL CORONA & SCARDIGLI SRL,12197,SCALI D AZEGLIO 32,LEGHORN 57100 ITALY,,,
DIAGEO GLOBAL SUPPLY,12155,"ICSC LOGISTICS CENTRE,1ST FLOOR ST.",DUBLIN 08 IRELAND,,,
"CITY OCEAN LOGISTICS CO.,LTD",12143,SHANGHAI BRANCH,"FLOOR 18,SUITE 3,YAO JIANG","INTERNATIONAL TOWER,308 WU SONG","ROAD,",
KUEHNE + NAGEL LTD.,12113,"9 FL., MAPO TOWER BLDG. 41 MAPO-DAE","SEOUL 11 04177 KOREA, REPUBLIC OF",,,
BOSCH REXROTH AG,11999,LOP3,ZUM EISENGIESSER 1,LOHR DE,,
"WORLDWIDE LOGISTICS CO.,LTD.",11971,"SHENZHEN BRANCH RM1403-1407,14/F,","GUIDU BUILDING, NO.52-56 CHUNFENG","ROAD,SHENZHEN CHINA",TEL:0755-82305900 FAX:0755-82144472,
"EVERGREEN LOGISTICS CO.,LTD",11965,AS AGENT FOR ROUND-THE-WORLD,LOGISTICS (U.S.A.) CORP.,"3RD FLOOR, NO.2 LANE 1199,","MINSHENG ROAD, PUDONG DISTRICT,",
JENNY,11923,32 GREAT WALL STREET,"HANGZHOU, ZHEJIANG",,,
PT. OEC FREIGHT INDONESIA,11920,"PLUIT JUNCTION, RUKO SH - 06",JL. PLUIT RAYA NO.1 JAKARTA 14450 I,TEL_ (021) 6623128 FAX _ (021) 662,,
"NINGBO JOYS IMP.& EXP.CO.,LTD.",11916,"NO.8 LIANFENG INDUSTRIAL ZONE,","LISHE,SHIQI","TOWN,YINZHOU,NINGBO,CHINA 315154",TEL:86-574-89012975@,
PENAVICO INTERNATIONAL LOGISTICS,11906,"CO.,LTD.",NINGBO 315000 CN,,,
ORIENT STAR TRANSPORT INTL LTD.,11808,5TH FL. NO. 61 SEC 3 NANKING EAST,ROAD TAIPEI TAIWAN.,TEL (8862)25067088,,
NINGBO PORT SOUTHEAST LOGISTICS,11726,"GROUP CO.,LTD.","ADD.:3-5F NO.258,SEL BLDG.,CHANGLE","RD.,EASTERN NEW CITY,JIANGDONG",,
FOUREVER INTERNATIONAL LIMITED,11693,"1601 FL, DONGSEN COMMERCIAL BLDG,","NO.19 LONGGANG ROAD,LONGGANG","DISTRICT,SHENZHEN,CHINA",,
ORIENT EXPRESS CONTAINER,11642,"CO.,LTD","NO.54-56,ZHONGSHAN ER ROAD ,",,,CN
NEXEN CORPORATION,11557,"5F., FARMAX PLAZA 796-27","BANGBAE-DONG SEOCHO-KU,","SEOUL, KOREA",,
DAIMLER AG,11524,"WERK:006 LN.-NR. 102/19723, GLOBAL",GERMERSHEIM RP 76725 GERMANY,,,
PANALPINA WELTTRANSPORT,11522,(DEUTSCHLAND) GMBH OCEAN FREIGHT,SERVICE CENTER NAGELSWEG 37. 20097,HAMBURG AS AGENT FOR AND ON BEHALF,,00
BLUE EAGLE CONSOL. SERVICES C/O,11504,JF HILLEBRAND CHILE LTDA.,"ENCOMENDEROS 260, PISO 4",OF. 42-43 LAS CONDES,"SANTIAGO, RM, CL",
"CASIA GLOBAL LOGISTICS CO.,LTD.",11448,ROOM 505 ZHONGTIAN BUILDING,"NO.1063 SIPING ROAD, YANGPU,","SHANGHAI,",,
YUSEN LOGISTICS (CHINA) COMPANY LIM,11380,"9/10F, LOGEMONT YES TOWER NO.369 KA",SHANGHAI SH 200051,CHINA,,
EXPEDITORS INTERNATIONAL (INDIA) PV,11311,310 ISCON ELEGANCE NEAR JAIN TEMPLE,"PRHALD NAGAR CROSS ROADS, SG HIGHWA","AHMEDABAD, GUJARAT 380 051 GJ",,
BEIJING KANG JIE KONG INTL CARGO,11261,"ROOM 1509-1512, CENTRAL TOWER,","5 XIANCUN ROAD, GUANGZHOU, 510623","CHINA, PEOPLES REP.",GUANGZHOU,
CEVA FREIGHT SHANGHAI LIMITED,11214,QINGDAO BRANCH AS AGENT FOR AND ON,FL 18 FLAGSHIP TOWER NEW WORLD CYBE,QINGDAO 37 266071 CN,,
"COSENTINO, S.A",11210,"CTRA.A334 BAZA-HUERCAL OVERA, KM 59",CANTORIA 04850 SPAIN,,,
EXPEDITORS INTERNATIONAL (I) PVT,11092,"LTD 501,TECHNIPLEX-I 5 FLOOR,","OFF VEER SAVARKAR FLY OVER, S.V. RD","GOREGAON(W), MUMBAI, MAHARASHTRA 40",,
PT. KERRY LOGISTICS INDONESIA,11061,SINAR MAS LAND PLAZA,6TH FLOOR SUITE 619,JL. PEMUDA 60-70,,
SAR TRANSPORT SYSTEMS PVT LTD,11020,413/415 SWASTIK DISA CORPORATE,"PARK LBS MARG, GHATKOPAR (W),",MUMBAI-400086. INDIA,,64
SAMPLE KING MANUFACTURING LTD,11001,"1ST-3RD FLOOR BLDG NO. 15,","SHATOUJIAO FREE TRADE ZONE,","YANTIAN DISTRICT 518081, SHENZHEN C",,HK
NEXEN TIRE CORPORATION,10986,.,3FL FARMAX SPORTS PLAZA796-27 BANGB,AE BON-DONGSEOCHO-KU SEOUL KOREA,,
"ECI TAIWAN CO., LTD.",10942,"11 FL,NO.181,FU-HSING NORTH ROAD",TAIPEI 10596,TAIWAN,KAOHSIUNG,
MASERATI S.P.A. A SOCIO UNICO,10918,VIALE CIRO MENOTTI 322,,,,IT
MITSUBISHI LOGISTICS CORPORATION,10852,"12TH FL, OSAKA DIA BLDG., 6-5-20,","NODA, FUKUSHIMA-KU, OSAKA,",553-0005 JAPAN,,
ORIENT CONTAINERS SDN BHD,10843,PUSAT DAGANGAN PHILEO DAMANSARA 1,"UNIT G707, BLOCK G. NO 9 JALAN","16/11, OFF JALAN DAMANSARA 46350",,
FEDEX INTERNATIONAL FREIGHT FORWARD,10814,10F BEN BEN MANSION NO 300 XI KANG,SHANGHAI SH 200040,CHINA,,
BECTON DICKINSON DE MEXICO SA DE CV,10755,MONTE PELVOUX N. 111 NO. 8-9 Y PH,LOMAS DE CHAPULTEPEC MIGUEL HIDALGO,CIUDAD DE MEXICO CX 11000 MX,,
SEACO SHIPPING SA CARE OF,10735,BEST FORWARDERS INC,"P A - AVENUE DE FRONTENEX, 6 CASE",POSTALE 6262 1212 GENEVA SWITZERL,,
DSV AIR & SEA GMBH,10515,MARIENBERGSTR. 84,NUERNBERG 90411,GERMANY,,57
